Date; Open; High; Low; Close; Moving Average 14
20.06.2011 0:00:00;12004.28;12099.87;11971.29;12080.38;12067.75
21.06.2011 0:00:00;12081.33;12217.33;12081.18;12190.01;12060.60
22.06.2011 0:00:00;12189.71;12207.99;12105.85;12109.67;12050.68
23.06.2011 0:00:00;12108.35;12108.73;11874.94;12050.00;12043.45
24.06.2011 0:00:00;12049.24;12057.19;11925.42;11934.58;12032.35
27.06.2011 0:00:00;11934.66;12098.81;11934.05;12043.56;12030.40
28.06.2011 0:00:00;12042.28;12190.43;12042.28;12188.69;12040.38
29.06.2011 0:00:00;12187.63;12284.39;12175.86;12261.42;12050.17
30.06.2011 0:00:00;12262.25;12427.09;12262.10;12414.34;12083.21
01.07.2011 0:00:00;12412.07;12596.13;12404.08;12582.77;12128.19
05.07.2011 0:00:00;12583.00;12601.80;12540.58;12569.87;12163.46
06.07.2011 0:00:00;12562.47;12643.24;12539.21;12626.02;12215.51
07.07.2011 0:00:00;12627.23;12753.89;12627.23;12719.49;12269.65
08.07.2011 0:00:00;12717.90;12717.90;12567.41;12657.20;12316.29
11.07.2011 0:00:00;12655.62;12655.84;12470.30;12505.76;12346.67
12.07.2011 0:00:00;12505.54;12570.58;12446.88;12446.88;12365.02
13.07.2011 0:00:00;12447.33;12611.04;12447.33;12491.61;12392.30
14.07.2011 0:00:00;12491.53;12581.98;12414.41;12437.12;12419.95
15.07.2011 0:00:00;12437.12;12504.82;12406.09;12479.73;12458.89
18.07.2011 0:00:00;12475.11;12475.26;12296.23;12385.16;12483.29
19.07.2011 0:00:00;12386.03;12607.56;12385.96;12587.42;12511.77
20.07.2011 0:00:00;12583.68;12603.51;12546.56;12571.91;12533.95
21.07.2011 0:00:00;12567.07;12751.43;12566.61;12724.41;12556.10
22.07.2011 0:00:00;12724.71;12740.87;12644.19;12681.16;12563.12
25.07.2011 0:00:00;12679.72;12679.95;12536.19;12592.80;12564.76
26.07.2011 0:00:00;12592.12;12593.40;12489.04;12501.30;12555.85
27.07.2011 0:00:00;12498.42;12498.65;12289.69;12302.55;12526.07
28.07.2011 0:00:00;12301.72;12384.90;12226.83;12240.11;12496.28
29.07.2011 0:00:00;12239.36;12243.07;12083.45;12143.24;12470.39
01.08.2011 0:00:00;12144.22;12282.42;11998.08;12132.49;12447.93
02.08.2011 0:00:00;12129.77;12130.30;11865.56;11866.62;12403.29
03.08.2011 0:00:00;11863.74;11904.91;11700.34;11896.44;12364.67
04.08.2011 0:00:00;11893.86;11893.94;11372.14;11383.68;12286.38
05.08.2011 0:00:00;11383.98;11555.41;11139.00;11444.61;12219.20
08.08.2011 0:00:00;11433.93;11434.09;10809.85;10809.85;12092.23
09.08.2011 0:00:00;10810.91;11244.01;10604.07;11239.77;11997.07
10.08.2011 0:00:00;11228.00;11228.00;10686.49;10719.94;11853.90
11.08.2011 0:00:00;10729.85;11278.90;10729.85;11143.31;11744.05
12.08.2011 0:00:00;11143.46;11346.67;11142.18;11269.02;11649.50
15.08.2011 0:00:00;11269.85;11484.60;11269.85;11482.90;11576.75
16.08.2011 0:00:00;11480.48;11488.01;11292.63;11405.93;11512.71
17.08.2011 0:00:00;11392.01;11529.67;11322.30;11410.21;11453.43
18.08.2011 0:00:00;11406.27;11406.50;10881.60;10990.58;11371.10
19.08.2011 0:00:00;10989.75;11086.40;10801.41;10817.65;11277.18
22.08.2011 0:00:00;10820.37;11020.55;10820.37;10854.65;11204.90
23.08.2011 0:00:00;10854.58;11176.84;10854.43;11176.76;11153.49
24.08.2011 0:00:00;11175.78;11331.57;11113.04;11320.71;11148.99
25.08.2011 0:00:00;11321.02;11406.39;11106.76;11149.82;11127.94
26.08.2011 0:00:00;11145.20;11326.43;10929.20;11284.54;11161.84
29.08.2011 0:00:00;11286.65;11541.78;11286.58;11539.25;11183.23
